name,category,desc,emoji,limit,tags,sort,available
"凉拌黄瓜","蔬菜","拍碎更入味，蒜末香醋一拌","🥒","","素|解腻|清淡","290","false"
"手撕包菜","蔬菜","手撕比刀切入味，干辣椒炝锅","🥬","","素|下饭|微辣","300","false"
"清炒冬瓜","蔬菜","切片快炒，清淡解腻","🍈","","素|清淡|解腻","310","false"
"盐水河虾","贝蟹虾","只放姜葱和盐，吃的就是那口鲜","🦐","","海鲜|清淡|硬菜","410","false"
"白灼淡菜","贝蟹虾","开口就捞，蘸姜醋汁","🦪","","海鲜|清淡","420","false"
"葱油蛏子","贝蟹虾","焯开后浇滚油葱丝","🦪","","海鲜|清淡","430","false"
"辣炒蛤蜊","贝蟹虾","干辣椒爆炒，开口即出锅","🦪","","海鲜|微辣|酒搭","440","false"
"清蒸梭子蟹","贝蟹虾","对半开上锅，姜醋蘸着吃","🦀","","海鲜|硬菜|清淡","450","false"
"葱油梭子蟹","贝蟹虾","蟹块蒸熟淋热油葱花","🦀","","海鲜|硬菜","460","false"
"梭子蟹蒸蛋","贝蟹虾","蟹肉蟹黄铺蛋液上，嫩滑鲜甜","🦀","","海鲜|儿童友好","470","false"
"红烧鲫鱼","鱼类","两面煎透再烧，汤汁浓稠","🐟","","海鲜|下饭","510","false"
"清蒸鲈鱼","鱼类","划刀蒸八分钟，淋一勺热油","🐟","","海鲜|硬菜|清淡","520","false"
"红烧带鱼","鱼类","带鱼段煎到金黄，糖醋收汁","🐟","","海鲜|下饭","530","false"
"雪菜大黄鱼","鱼类","雪菜提鲜，蒜瓣肉一夹就散","🐟","","海鲜|硬菜","540","false"
"红烧豆腐鱼","鱼类","肉像豆腐一样嫩，一抿就化","🐟","","海鲜|清淡","550","false"
"昂刺鱼豆腐汤","鱼类","汤色奶白，鱼肉没有小刺","🍲","","汤|海鲜|暖胃","560","false"
"香煎青花鱼","鱼类","鱼皮煎到焦脆，挤点柠檬","🐟","","海鲜|下饭","570","false"
"米饭","主食","新米现焖，粒粒分明","🍚","","主食","610","false"
"炒年糕","主食","年糕片炒软，配青菜肉丝","🍜","","主食|下饭","620","false"
"蒜蓉粉丝","主食","粉丝垫底，蒜蓉蒸到入味","🍜","","主食|清淡","630","false"
"炒饭","主食","隔夜饭炒到颗颗分开","🍚","","主食","640","false"
"南瓜羹","汤羹","蒸软打泥，加一点淡奶油更滑","🎃","","汤|甜|暖胃","710","false"
"紫菜蛋花汤","汤羹","水开后淋蛋液，撒紫菜虾皮","🍲","","汤|清淡","720","false"
"番茄鸡蛋汤","汤羹","番茄炒出沙再加水，酸甜开胃","🍲","","汤|清淡|儿童友好","730","false"
"桃胶银耳羹","甜品","桃胶泡发一夜，炖到出胶","🥣","","甜|解腻","810","false"
"双皮奶","甜品","牛奶结两层皮，滑得像布丁","🍮","","甜|儿童友好","820","false"
"冰豆花","甜品","冰镇豆花淋红糖水","🍧","","甜|解腻","830","false"
"茶","饮品","现泡的热茶，解腻","🍵","","解腻","910","false"
"可乐","饮品","提前冰上","🥤","","儿童友好","920","false"
"雪碧","饮品","冰镇加两片柠檬","🥤","","儿童友好","930","false"
"米酒","饮品","自家酿的，微甜顺口","🍶","","酒搭|甜","940","false"
"啤酒","饮品","冰啤酒配硬菜","🍺","","酒搭","950","false"
"葡萄酒","饮品","开一瓶配红肉","🍷","","酒搭","960","false"
"番茄炒蛋","快手菜","十分钟上桌，酸甜下饭不翻车","🍅","","快手|素|下饭","1010","false"
"葱花炒蛋","快手菜","蛋液打散，炒到刚凝固就起锅","🍳","","快手|素","1020","false"
"午餐肉煎蛋","快手菜","罐头午餐肉切片煎香，配个煎蛋","🥓","","快手|下饭","1030","false"
"香肠蒸饭","快手菜","广式香肠切片铺饭上同蒸","🍚","","快手|主食","1040","false"
"家常豆腐","快手菜","嫩豆腐切块，酱油糖烧入味","🍲","","快手|素|下饭","1050","false"
"清汤挂面","快手菜","一把挂面加青菜和蛋，五分钟","🍜","","快手|主食","1060","false"
"速冻水饺","快手菜","冰箱常备，煮开即食","🥟","","快手|主食","1070","false"
"榨菜肉丝","快手菜","榨菜丝和肉丝快炒，咸鲜下饭","🥬","","快手|下饭","1080","false"
"泡面加蛋","快手菜","真到山穷水尽时的最后一道防线","🍜","","快手|主食","1090","false"
